StopId,Code,Name,StopType,Zone,Ward,AddressNo,Street,SupportDisability,Status,Lat,Lng,Routes
6870,HCG 049,Trường Tam Thôn Hiệp,Trụ dừng,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện Trường THCS Tam Thôn Hiệp,Tam Thôn Hiệp,Có,Đang khai thác,10.587964,106.854519,127
7088,HCG 119,Nguyễn Công Bao,Nhà chờ,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện TH 772,Nguyễn Công Bao,Có,Đang khai thác,10.595847,106.857056,127
7086,HCG 117,Nguyễn Công Bao 2,Ô sơn,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Trụ điện TH 35,Nguyễn Công Bao,Có,Đang khai thác,10.598304,106.859556,127
7084,HCG 115,Tam Thôn Hiệp,Ô sơn,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Trụ điện TH2.2,Nguyễn Công Bao,Có,Đang khai thác,10.601874,106.860108,127
6872,HCG 051,Đình xã Tam Thôn Hiệp,Nhà chờ,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đình Xã Tam Thôn Hiệp,Tam Thôn Hiệp,Có,Đang khai thác,10.607996,106.859014,127
6873,HCG 052,Nhà văn hóa Ấp Trần Hưng Đạo,Nhà chờ,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Nhà văn hóa ấp Trần Hưng Đạo,Tam Thôn Hiệp,Có,Đang khai thác,10.618019,106.855913,127
7082,HCG 113,Cống Hưng Đạo,Nhà chờ,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Trụ điện TTH 125,Tam Thôn Hiệp,Có,Đang khai thác,10.619042,106.852807,127
6874,HCG 053,Cầu Tắc Tây Đen,Nhà chờ,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện trụ điện 11,Tam Thôn Hiệp,Có,Đang khai thác,10.618219,106.847556,127
6875,HCG 054,Bà Xán,Trụ dừng,Huyện Cần Giờ,Xã Bình Khánh,Đối diện trụ diện TĐ39,Bà Xán,Có,Đang khai thác,10.619232,106.842567,127
7080,HCG 111,Đội 5,Nhà chờ,Huyện Cần Giờ,Xã Bình Khánh,Đối diện trụ điện TĐ 29,Bà Xán,Có,Đang khai thác,10.620445,106.835598,127
6876,HCG 055,Nghĩa trang Bình Khánh,Trụ dừng,Huyện Cần Giờ,Xã Bình Khánh,Đối diện Nghĩa trang Bình Khánh,Bà Xán,Có,Đang khai thác,10.618219,106.825604,127
6861,BX 85,Ngã ba Bà Xán,Bến xe,Huyện Cần Giờ,Xã Bình Khánh,Ngã 3 Bà Xán,Bà Xán,,Đang khai thác,10.616538,106.81884,127
6877,HCG 056,Nghĩa trang Bình Khánh,Trụ dừng,Huyện Cần Giờ,Xã Bình Khánh,Nghĩa trang Bình Khánh,Bà Xán,,Đang khai thác,10.61784,106.825283,127
7079,HCG 110,Đội 5,Nhà chờ,Huyện Cần Giờ,Xã Bình Khánh,Trụ điện TĐ29,Bà Xán,Có,Đang khai thác,10.620097,106.835368,127
6878,HCG 057,Bà Xán,Trụ dừng,Huyện Cần Giờ,Xã Bình Khánh,Trụ điện TĐ39,Bà Xán,Có,Đang khai thác,10.61992,106.84104,127
6879,HCG 058,Cầu Tắc Tây Đen,Nhà chờ,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Trụ điện 11,Tam Thôn Hiệp,Có,Đang khai thác,10.61804,106.847212,127
7081,HCG 112,Cống Hưng Đạo,Ô sơn,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện trụ điện TTH 125,Tam Thôn Hiệp,Có,Đang khai thác,10.618831,106.852705,127
6880,HCG 059,Nhà văn hóa Ấp Trần Hưng Đạo,Nhà chờ,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện Ấp văn hóa Trần Hưng Đạo,Tam Thôn Hiệp,,Đang khai thác,10.617861,106.855811,127
6881,HCG 060,Đình xã Tam Thôn Hiệp,Nhà chờ,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện Đình xã Tam Thôn Hiệp,Tam Thôn Hiệp,,Đang khai thác,10.607532,106.858934,127
7083,HCG 114,Nguyễn Công Bao,Ô sơn,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện trụ điện TH 86.4,Nguyễn Công Bao,Có,Đang khai thác,10.601779,106.85998,127
7085,HCG 116,Nguyễn Công Bao 2,Ô sơn,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện trụ điện TH35,Nguyễn Công Bao,Có,Đang khai thác,10.598515,106.85955,127
6883,HCG 062,Trường Trung học Tam Thôn Hiệp,Nhà chờ,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Trường THCS Tam Thôn Hiệp,Tam Thôn Hiệp,,Đang khai thác,10.588138,106.854706,127
7089,HCG 120,Đường Đê N1,Nhà chờ,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện TTH 62.1,Tam Thôn Hiệp,Có,Đang khai thác,10.590463,106.856705,127
6884,HCG 063,Đê An Hòa,Trụ dừng,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đê An Hòa,Tam Thôn Hiệp,Có,Đang khai thác,10.587806,106.845024,127
7091,HCG 122,Thuận Yến,Ô sơn,Huyện Cần Giờ,Xã Tam Thôn Hiệp,HTX Thuận Yến,Tam Thôn Hiệp,Có,Đang khai thác,10.588349,106.838012,127
7093,HCG 124,Tam Thôn Hiệp,Ô sơn,Huyện Cần Giờ,Thị trấn Cần Thạnh,Đối diện TTH 19,Tam Thôn Hiệp,Có,Đang khai thác,10.587505,106.834112,127
6885,HCG 064,Trường An Nghĩa,Nhà chờ,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Trường THPT An Nghĩa,Tam Thôn Hiệp,Có,Đang khai thác,10.588961,106.830626,127
6886,HCG 065,Rừng Sác,Trụ dừng,Huyện Cần Giờ,Xã Tam Thôn Hiệp,Đối diện Phúc Hải,Tam Thôn Hiệp,Có,Đang khai thác,10.587579,106.82539,"127, 128"
6887,HCG 066,An Thới Đông,Nhà chờ,Huyện Cần Giờ,Xã An Thới Đông,Cột điện 3/21,An Thới Đông,Có,Đang khai thác,10.576326,106.824199,127
7095,HCG 126,An Thới Đông,Nhà chờ,Huyện Cần Giờ,Xã An Thới Đông,Trụ điện ATĐ 18,An Thới Đông,Có,Đang khai thác,10.576205,106.817231,127
6888,HCG 067,Trường THCS An Thới Đông,Nhà chờ,Huyện Cần Giờ,Xã An Thới Đông,Trường THCS An Thới Đông,An Thới Đông,Có,Đang khai thác,10.583208,106.805778,127
7097,HCG 128,Rạch Giồng,Ô sơn,Huyện Cần Giờ,Xã An Thới Đông,Trụ đèn ATĐ 43.1,An Thới Đông,Có,Đang khai thác,10.586931,106.803868,127
7099,HCG 130,Quán Phương Trang,Ô sơn,Huyện Cần Giờ,Xã An Thới Đông,Đối diện trụ điện ATĐ 52,An Thới Đông,Có,Đang khai thác,10.590442,106.801395,127
6889,HCG 068,Trường tiểu học An Thới Đông,Nhà chờ,Huyện Cần Giờ,Xã An Thới Đông,Đối diện Trường tiểu học An Thới Đông ,An Thới Đông,,Đang khai thác,10.590954,106.793289,127
1344,Q1 119,Cầu Ông Lãnh,Nhà chờ,Quận 1,Phường Cầu Ông Lãnh,65G (75),Nguyễn Thái Học,Có,Đang khai thác,10.766785,106.696011,"139, 140, 155, 31, 46, 72"
1196,Q4 010,Hoàng Diệu,Trụ dừng,Quận 4,,K48-K50,Hoàng Diệu,,Đang khai thác,10.760735,106.699836,"139, 140, 155, 38, 46, 72, 86"
8206,BX95,Ga Bến Thành,Bến xe,Quận 1,Phường Bến Thành,Cây xanh 2-4,Phạm Ngũ Lão,Có,Đang khai thác,10.770021,106.696622,"155, 156D, 156V"
3011,Q4 017,Chùa Long Bửu,Trụ dừng,Quận 4,,Hông Chùa Long Bửu,Khánh Hội,,Đang khai thác,10.760487,106.697942,"155, 46"
9579,Q4 060,Tòa Nhà MILLENIUM,Ô sơn,Quận 4,Phường 09,132,Bến Văn Đồn,Có,Đang khai thác,10.763678,106.69954,155
9580,Q4 063,Novaland Icon 56,Ô sơn,Quận 4,Phường 12,56,Bến Văn Đồn,Có,Đang khai thác,10.766223,106.702607,155
9550,Q4 059,Trường Nguyễn Hữu Thọ,Ô sơn,Quận 4,Phường 13,02,Bến Vân Đồn,Có,Đang khai thác,10.767899,106.704769,155
2116,Q4 026,Đại học Luật,Trụ dừng,Quận 4,,8A,Nguyễn Tất Thành,,Đang khai thác,10.767288,106.706032,"155, 20, 75, DL06"
9553,Q4 061,UBND Phường Xóm Chiếu,Ô sơn,Quận 4,Phường 12,Cây xanh số 24 ,Đoàn Như Hải,Có,Đang khai thác,10.766367,106.705404,"155, DL01, DL02"
9552,Q4 062,Ngân hàng Agribank,Ô sơn,Quận 4,Phường 13,52 ,Nguyễn Trường Tộ,Có,Đang khai thác,10.765296,106.70485,"155, DL01, DL02"
2773,Q1 049,Chợ Bến Thành,Nhà chờ,Quận 1,Phường Bến Thành,106,Lê Lợi,,Đang khai thác,10.772661,106.699337,"155, 156D"
7815,Q2 114,Chung cư NEWCITY,Trụ dừng,TP. Thủ Đức - KV1,Phường Bình Khánh,Cây xanh 379,Mai Chí Thọ,,Đang khai thác,10.780682,106.736367,"157, 172, 72-2B, D4"
